€625,000 	 Curraghmore, Belcarra, Castlebar, Co Mayo
€159,500  -€9,500 on 17th Oct 19 	 108 Chestnut Grove, Castlebar, Mayo
€89,950 	 Knox Street, Ballyhaunis, Mayo
€149,500 	 44 Dunbeag, Castlebar, Mayo
€269,000 	 Wednesday House, Elmhall, Belcarra, Castlebar, Mayo
€320,000 	 Rocklands, Castlebar, Mayo
€285,000 	 11 Cashel Park, Castlebar, Mayo
AMV €245,000 	 ONLINE AUCTION Camcloon More, Newport, Mayo
€199,000 	 Castlebar road, Ballinrobe, Mayo
€295,000 	 Knappagh Beg, Westport, Co Mayo, F28 D576
POA 	 8 Garumna Court, Foxford, Mayo
€180,000 	 209 Harbour Mill, Westport, Mayo
€154,000 	 5 Ballyhaunis Road, Knock, Co. Mayo
AMV €235,000 	 5 Ard Na Mara, Louisburgh, Mayo
€55,000 	 29 Ardroe, Lisnaboley, Claremorris, Mayo
AMV €135,000 	 Tawnameeltoge, Cuilmore, Newport, Mayo
€95,000 	 69 Saint Mary`s Park, Crossmolina, Mayo
AMV €168,000 	 1 Cluain Ri, Bunowen, Louisburgh, Mayo
AMV €80,000 	 Lisduff, Irishtown, Ballindine, Mayo
€102,000 	 407 Ridgepool View, Barrett Street,, Ballina, Mayo
POA 	 Two Apartments/ Suites , The Lodges, Breaffy Resort , Castlebar, Mayo
